dataid,localhour,air1,	air2,	air3,	airwindowunit1,	aquarium1,	bathroom1,	bathroom2,	bedroom1,	bedroom2,	bedroom3,	bedroom4,	bedroom5,	car1,	clotheswasher1,	clotheswasher_dryg1,	diningroom1,	diningroom2,	dishwasher1,	disposal1,	drye1,	dryg1,	freezer1,	furnace1,	furnace2,	garage1,	garage2,	gen,	grid,	heater1,	housefan1,	icemaker1,	jacuzzi1,	kitchen1,	kitchen2,	kitchenapp1,	kitchenapp2,	lights_plugs1,	lights_plugs2,	lights_plugs3,	lights_plugs4,	lights_plugs5,	lights_plugs6,	livingroom1,	livingroom2,	microwave1,	office1,	outsidelights_plugs1,	outsidelights_plugs2,	oven1,	oven2,	pool1,	pool2,	poollight1,	poolpump1,	pump1,	range1,	refrigerator1,	refrigerator2,	security1,	shed1,	sprinkler1,	use,	utilityroom1,	venthood1,	waterheater1,	waterheater2,	winecooler1,water_meter_value,  gas_meter_value
2014-09-02 10:00:00-05,22,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.01125000000000000000,0,0,0,0,0.04683333333333333333,0,0,0,0,0.00488333333333333333,0,0,0,0,0,0,0,0,0,0.02400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.04683333333333333333,0,0,0,0,0,0,0
2014-09-02 10:00:00-05,48,0.19978333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02501666666666666667,0,0,0,0,0.61553333333333333333,0,0,0,0,0,0,0,0,0.06556666666666666667,0.00000000000000000000,0,0,0,0,0.19095000000000000000,0,0.08145000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.05706666666666666667,0,0,0,0,0.61553333333333333333,0,0,0,0,0,0,0
2014-09-02 11:00:00-05,22,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.01100000000000000000,0,0,0,0,0.13920000000000000000,0,0,0,0,0.00488333333333333333,0,0,0,0,0,0,0,0,0,0.02421666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.09418333333333333333,0,0,0,0,0.13920000000000000000,0,0,0,0,0,0,0
2014-09-02 11:00:00-05,48,0.32138333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.03183333333333333333,0,0,0,0,0.58611666666666666667,0,0,0,0,0,0,0,0,0.03161666666666666667,0.00000000000000000000,0,0,0,0,0.12385000000000000000,0,0.08105000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.58611666666666666667,0,0,0,0,0,0,0
2014-09-02 12:00:00-05,22,0.31351666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.02913333333333333333,0,0,0,0,0.45048333333333333333,0,0,0,0,0.00481666666666666667,0,0,0,0,0,0,0,0,0,0.02608333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.06851666666666666667,0,0,0,0,0.45048333333333333333,0,0,0,0,0,0,0
2014-09-02 12:00:00-05,48,0.25915000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02590000000000000000,0,0,0,0,0.45828333333333333333,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.01853333333333333333,0,0.08145000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.07328333333333333333,0,0,0,0,0.45828333333333333333,0,0,0,0,0,0,0
2014-09-02 13:00:00-05,22,1.2910833333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.08405000000000000000,0,0,0,0,1.4220666666666667,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0.04300000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,1.4220666666666667,0,0,0,0,0,0,0
2014-09-02 13:00:00-05,48,0.21705000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02355000000000000000,0,0,0,0,0.33636666666666666667,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.01311666666666666667,0,0.08138333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.33636666666666666667,0,0,0,0,0,0,0
2014-09-02 14:00:00-05,22,0.16215000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038333333333333333,0.00020000000000000000,0,0,0,0.01998333333333333333,0,0,0,0,0.40400000000000000000,0,0,0,0,0.00485000000000000000,0,0,0,0,0,0,0,0,0,0.04051666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.05101666666666666667,0.05285000000000000000,0,0,0,0,0.40400000000000000000,0,0,0,0,0,0,0
2014-09-02 14:00:00-05,48,0.59311666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.04385000000000000000,0,0,0,0,0.90201666666666666667,0,0,0,0,0,0,0,0,0.00038333333333333333,0.00000000000000000000,0,0,0,0,0.01393333333333333333,0,0.08205000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.17205000000000000000,0,0,0,0,0.90201666666666666667,0,0,0,0,0,0,0
2014-09-02 15:00:00-05,22,1.3603333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411666666666666667,0.00076666666666666667,0,0,0,0.08581666666666666667,0,0,0,0,2.4983500000000000,0,0,0,0,0.00496666666666666667,0,0,0,0,0,0,0,0,0,0.02398333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.40576666666666666667,0.13481666666666666667,0,0,0,0,2.4983500000000000,0,0,0,0,0,0,0
2014-09-02 15:00:00-05,48,0.20958333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02235000000000000000,0,0,0,0,0.40910000000000000000,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.01365000000000000000,0,0.08128333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.08238333333333333333,0,0,0,0,0.40910000000000000000,0,0,0,0,0,0,0
2014-09-02 16:00:00-05,22,0.55993333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.04328333333333333333,0,0,0,0,0.66190000000000000000,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0.02398333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.01778333333333333333,0,0,0,0,0.66190000000000000000,0,0,0,0,0,0,0
2014-09-02 16:00:00-05,48,0.27348333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02596666666666666667,0,0,0,0,0.37798333333333333333,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.01320000000000000000,0,0.06425000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.37798333333333333333,0,0,0,0,0,0,0
2014-09-02 17:00:00-05,22,0.33821666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.03173333333333333333,0,0,0,0,0.40415000000000000000,0,0,0,0,0.00496666666666666667,0,0,0,0,0,0,0,0,0,0.02403333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.40415000000000000000,0,0,0,0,0,0,0
2014-09-02 17:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.00933333333333333333,0,0,0,0,0.17928333333333333333,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.01336666666666666667,0,0.08350000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.07206666666666666667,0,0,0,0,0.17928333333333333333,0,0,0,0,0,0,0
2014-09-02 18:00:00-05,22,0.77785000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.06008333333333333333,0,0,0,0,1.1009666666666667,0,0,0,0,0.00440000000000000000,0,0,0,0,0,0,0,0,0,0.03418333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.09936666666666666667,0,0,0,0,1.1009666666666667,0,0,0,0,0,0,0
2014-09-02 18:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.01015000000000000000,0,0,0,0,0.10930000000000000000,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.01390000000000000000,0,0.08261666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.10930000000000000000,0,0,0,0,0,0,0
2014-09-02 19:00:00-05,22,0.71270000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00076666666666666667,0.00000000000000000000,0,0,0,0.05806666666666666667,0,0,0,0,1.1390000000000000,0,0,0,0,0.01433333333333333333,0,0,0,0,0,0,0,0,0,0.06240000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.14616666666666666667,0,0,0,0,1.1390000000000000,0,0,0,0,0,0,0
2014-09-02 19:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.00976666666666666667,0,0,0,0,0.18075000000000000000,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0.01400000000000000000,0,0.08308333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.07326666666666666667,0,0,0,0,0.18075000000000000000,0,0,0,0,0,0,0
2014-09-02 20:00:00-05,22,0.35665000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01126666666666666667,0.00045000000000000000,0,0,0,0.03500000000000000000,0,0,0,0,0.70406666666666666667,0,0,0,0,0.00465000000000000000,0,0,0,0,0,0,0,0,0,0.07876666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.11388333333333333333,0,0,0,0,0.70406666666666666667,0,0,0,0,0,0,0
